ID,Organization,Created..Timestamp,Created..Date,Created..Time,Updated..Date,Updated..Date.1,Updated..Time,Recorded..Timestamp,Recorded..Date,Recorded..Time,Surveyor..ID,Surveyor..Name,Surveyor..First.name,Surveyor..Last.name,Surveyor..Email,Status,River,Location..Latitude,Location..Longitude,Location..Easting,Location..Northing,Location..NGR,Survey.Type,Site.Name,Foreshore,Quadrat.Number,Cutlery..plastic.,Straw,Stirrer,Lollipop.stick,Food.wrapper,Take.away.container..plastic.,Drink.bottle..with.or.without.lid.,Bottle.top,Lid..plastic.,Cup..plastic.,Plate..plastic.,X6.4.pack.rings,Wine.cork..plastic.,Food.container..plastic.,Ice.pop.container,Other.plastic.food.packaging,Drink.carton,Tetra.pak.coffee.cup,Take.away.container.or.plate..polystyrene.,Cup..polystyrene.,Other.polystyrene.food.packaging,Thick..durable..shopping.bag,Thin..single.use..shopping.bag,Refuse.sack,Plastic.bottle.container..non.food.related.,Foam.roll.packaging,O.pack,Condom,Tampon.applicator,Sanitary.towel,Cotton.bud.stick,Nappy,Syringe.needle,Medicine.packaging,Wet.wipes,Gloves..plastic.,Eye.drop.dispenser,Plaster,Other.sewage.related.items,Lighter,Cigarette.butt,Cigarette.tobacco.packaging,Other.smoking.related,Shoe.or.flip.flop,Item.of.clothing,Other.clothing,Rope,String,Rubber.band,Recreational.fishing.gear,Commercial.fishing.gear,Shopping.trolley,Tyre,Traffic.cone.sign.barrier,Large.appliance..fridge..washing.machine....,Small.appliance..toaster..microwave....,Mattress,Carpet...20.cm.,Other.large.item,Building.insulation.pieces,Cable.tie,Rawl.plug,Window.spacer.tiles,Scaffold.bungee,Pipe.lagging,Tile.cross.spacers,Ball,Balloon...stick,Gardening..flower.pot..gloves..plant.label.,Nerf.bullet,Packaging.peanut,Pen,Surveyed.,Other.litter
5512cfb60100004a002a3460,Jolly Roger,18/08/2015 17:00,18/08/2015,17:00:00,18/08/2015 17:00,18/08/2015,17:00:00,22/03/2015 10:30,22/03/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,3,32,7,14,11,33,13,3,5,11,17,6,13,1,11,17,3,8,23,20,27,,34,3,4,40,11,15,4,6,28,32,15,7,37,27,5,6,3,15,11,34,3,35,2,14,45,43,0,19,1,,,,28,,,,8,16,3,32,18,20,30,18,4,20,19,18,15,11,34,,
5512cfb60100004a002a3460,Jolly Roger,19/08/2015 17:00,19/08/2015,17:00:00,19/08/2015 17:00,19/08/2015,17:00:00,22/03/2015 10:30,22/03/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,5,11,1,36,8,9,29,37,1,9,8,35,42,16,20,11,24,16,18,12,2,,19,9,24,27,16,2,38,8,7,13,18,10,26,15,13,13,4,6,2,12,17,19,45,34,16,28,37,5,1,,,,13,,,,30,34,22,11,6,38,8,2,2,20,15,32,1,14,24,,
5512cfb60100004a002a3460,Jolly Roger,20/08/2015 17:00,20/08/2015,17:00:00,20/08/2015 17:00,20/08/2015,17:00:00,22/03/2015 10:30,22/03/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,6,4,11,1,33,17,0,17,31,33,8,0,47,25,22,0,12,36,9,45,8,,7,30,3,19,3,21,4,6,0,1,0,7,29,0,19,6,35,20,1,4,17,6,22,21,3,22,13,0,13,,,,20,,,,30,28,13,34,5,12,15,2,7,19,6,6,21,7,21,,
5512cfb60100004a002a3460,Jolly Roger,21/08/2015 17:00,21/08/2015,17:00:00,21/08/2015 17:00,21/08/2015,17:00:00,22/03/2015 10:30,22/03/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,7,3,14,6,12,24,2,1,42,27,16,12,32,28,9,26,17,21,16,11,14,,12,18,7,15,0,11,24,2,3,17,10,9,0,7,9,6,18,12,21,30,1,6,21,28,16,14,17,9,12,,,,41,,,,0,32,38,1,35,24,1,23,9,3,26,20,39,11,29,,
5512cfb60100004a002a3460,Jolly Roger,22/08/2015 17:00,22/08/2015,17:00:00,22/08/2015 17:00,22/08/2015,17:00:00,22/03/2015 10:30,22/03/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,8,16,46,14,10,13,25,24,22,19,2,19,1,37,28,8,2,14,22,43,5,,17,2,12,1,9,5,9,22,35,31,14,7,25,29,20,11,3,9,33,22,1,19,23,39,24,23,15,22,7,,,,24,,,,1,10,26,20,9,19,22,30,0,38,37,17,14,18,42,,
5512cfb60100004a002a3460,Jolly Roger,23/08/2015 17:00,23/08/2015,17:00:00,23/08/2015 17:00,23/08/2015,17:00:00,22/03/2015 10:30,22/03/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,9,23,14,1,36,1,23,20,7,23,15,1,4,8,28,18,19,40,20,26,1,,21,9,0,5,1,15,1,0,14,0,1,14,18,10,1,12,0,40,17,41,14,18,6,4,12,12,11,13,21,,,,20,,,,19,30,26,6,30,7,21,35,31,6,2,25,35,10,14,,
5512cfb60100004a002a3460,Jolly Roger,24/08/2015 17:00,24/08/2015,17:00:00,24/08/2015 17:00,24/08/2015,17:00:00,22/03/2015 10:30,22/03/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,10,3,9,8,8,6,8,17,8,17,7,3,11,4,43,26,3,4,15,29,28,,29,41,11,23,15,17,28,12,9,9,11,22,7,12,4,12,40,9,6,13,23,3,23,14,21,2,22,20,28,,,,26,,,,38,11,19,13,7,27,18,4,5,17,16,4,19,15,19,,
5512cfb60100004a002a3460,Jolly Roger,25/08/2015 17:00,25/08/2015,17:00:00,25/08/2015 17:00,25/08/2015,17:00:00,22/03/2015 10:30,22/03/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,11,11,24,19,13,6,4,16,9,3,3,10,10,45,11,34,10,36,3,28,3,,18,27,12,15,5,24,20,32,3,21,21,2,10,9,36,18,13,7,5,35,40,7,17,17,36,12,2,10,43,,,,22,,,,27,19,19,15,16,42,2,34,31,32,12,5,1,22,26,,
5512cfb60100004a002a3460,Jolly Roger,26/08/2015 17:00,26/08/2015,17:00:00,26/08/2015 17:00,26/08/2015,17:00:00,22/03/2015 10:30,22/03/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,12,23,19,9,16,9,11,40,1,23,16,14,11,9,37,7,37,47,9,29,4,,17,42,41,20,37,25,3,31,17,22,9,16,4,32,20,20,33,28,4,35,25,19,42,20,4,44,5,2,22,,,,18,,,,17,8,0,1,6,8,0,27,25,15,1,27,10,17,6,,
5555c1c00100006a00ba3a70,Jolly Roger,27/08/2015 17:00,27/08/2015,17:00:00,27/08/2015 17:00,27/08/2015,17:00:00,23/04/2015 10:30,23/04/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,2,2,24,3,2,40,45,8,14,19,12,21,27,19,10,9,12,20,5,9,18,,1,10,31,22,4,43,8,12,29,7,35,16,9,10,4,11,1,23,5,14,19,0,4,32,21,25,4,1,10,,,,29,,,,18,10,24,1,28,17,2,28,40,7,35,21,28,11,14,,
5555c1c00100006a00ba3a70,Jolly Roger,28/08/2015 17:00,28/08/2015,17:00:00,28/08/2015 17:00,28/08/2015,17:00:00,23/04/2015 10:30,23/04/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,3,30,13,1,23,30,5,5,47,18,8,11,0,37,7,14,28,0,8,10,11,,1,43,38,3,40,25,6,6,15,31,19,41,10,26,21,6,12,5,25,35,4,19,15,4,11,28,17,0,33,,,,20,,,,11,16,6,2,27,0,0,23,31,31,34,15,26,30,14,,
5555c1c00100006a00ba3a70,Jolly Roger,29/08/2015 17:00,29/08/2015,17:00:00,29/08/2015 17:00,29/08/2015,17:00:00,23/04/2015 10:30,23/04/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,4,40,7,32,9,8,3,18,32,14,1,5,24,42,9,5,26,16,32,21,26,,17,36,22,7,1,10,18,12,34,1,37,26,5,1,1,26,1,29,3,20,4,16,29,12,11,20,42,20,12,,,,6,,,,17,22,5,1,42,24,24,46,29,32,5,39,20,27,0,,
5555c1c00100006a00ba3a70,Jolly Roger,30/08/2015 17:00,30/08/2015,17:00:00,30/08/2015 17:00,30/08/2015,17:00:00,23/04/2015 10:30,23/04/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,5,6,23,0,43,47,9,2,9,12,12,6,7,43,30,0,12,6,17,29,1,,6,32,18,9,7,24,5,2,13,5,39,20,0,16,42,0,20,13,4,0,9,6,5,16,24,4,23,36,13,,,,23,,,,30,16,12,7,12,17,12,17,9,3,21,10,16,0,28,,
5555c1c00100006a00ba3a70,Jolly Roger,31/08/2015 17:00,31/08/2015,17:00:00,31/08/2015 17:00,31/08/2015,17:00:00,23/04/2015 10:30,23/04/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,6,14,17,30,3,14,6,26,7,37,3,4,22,1,40,7,15,4,46,0,27,,13,8,36,32,15,10,8,22,33,21,12,13,29,22,9,18,5,6,4,20,21,3,47,7,5,43,4,14,18,,,,11,,,,23,41,14,4,29,20,18,27,11,7,7,23,12,8,30,,
5555c1c00100006a00ba3a70,Jolly Roger,01/09/2015 17:00,01/09/2015,17:00:00,01/09/2015 17:00,01/09/2015,17:00:00,23/04/2015 10:30,23/04/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,7,15,14,14,4,18,0,16,10,37,24,21,0,34,23,7,16,13,39,2,13,,6,34,13,0,42,7,1,11,4,9,8,2,2,9,29,31,5,7,8,0,10,13,43,0,10,4,36,5,10,,,,17,,,,8,31,38,13,37,24,13,33,0,4,20,31,9,9,12,,
5555c1c00100006a00ba3a70,Jolly Roger,02/09/2015 17:00,02/09/2015,17:00:00,02/09/2015 17:00,02/09/2015,17:00:00,23/04/2015 10:30,23/04/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,8,15,14,15,7,9,16,0,33,16,22,31,26,15,29,19,14,16,20,1,1,,5,8,13,5,34,0,17,4,22,32,17,28,7,9,41,0,5,7,7,6,16,44,26,1,16,19,18,9,34,,,,26,,,,6,37,15,37,33,9,1,6,21,13,43,8,27,6,23,,
5555c1c00100006a00ba3a70,Jolly Roger,03/09/2015 17:00,03/09/2015,17:00:00,03/09/2015 17:00,03/09/2015,17:00:00,23/04/2015 10:30,23/04/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,9,4,17,6,22,25,5,9,1,3,39,27,11,16,40,11,21,8,14,26,13,,23,18,23,7,2,14,21,46,28,13,7,26,10,26,43,11,36,18,17,7,35,40,3,24,18,15,43,36,5,,,,31,,,,29,29,6,23,17,18,10,4,3,11,23,1,17,16,1,,
55bf49d00100006a007617ab,Jolly Roger,04/09/2015 17:00,04/09/2015,17:00:00,04/09/2015 17:00,04/09/2015,17:00:00,31/07/2015 09:30,31/07/2015,09:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Floating hotspot,Crabtree Wharf,NA,1,14,11,3,10,1,3,3,27,1,2,10,5,7,1,2,10,10,10,5,17,,,,3,4,3,3,1,,,,,2,2,,2,10,2,6,3,,35,1,7,5,4,4,2,5,1,,,,1,,,,2,3,3,3,0,3,3,1,0,2,3,1,3,1,2,,
55bf49d00100006a007617ab,Jolly Roger,05/09/2015 17:00,05/09/2015,17:00:00,05/09/2015 17:00,05/09/2015,17:00:00,31/07/2015 09:30,31/07/2015,09:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Floating hotspot,Crabtree Wharf,NA,2,23,2,4,2,4,5,18,27,2,8,7,36,3,9,0,7,8,9,3,5,,,,2,1,1,1,1,,,,,1,0,,7,7,4,4,7,,9,1,2,8,6,3,0,0,0,,,,1,,,,3,3,0,2,2,0,0,0,1,0,1,0,1,2,3,,
55bf49d00100006a007617ab,Jolly Roger,06/09/2015 17:00,06/09/2015,17:00:00,06/09/2015 17:00,06/09/2015,17:00:00,31/07/2015 09:30,31/07/2015,09:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Floating hotspot,Crabtree Wharf,NA,3,3,23,7,3,7,1,2,21,10,6,9,22,9,9,6,8,2,2,10,34,,,,6,4,6,4,3,,,,,0,2,,5,6,7,4,4,,9,8,1,3,8,2,3,1,8,,,,0,,,,0,3,1,1,1,0,3,0,2,0,3,2,0,2,1,,
55bf49d00100006a007617ab,Jolly Roger,07/09/2015 17:00,07/09/2015,17:00:00,07/09/2015 17:00,07/09/2015,17:00:00,31/07/2015 09:30,31/07/2015,09:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Floating hotspot,Crabtree Wharf,NA,4,2,30,8,8,0,10,0,22,6,7,10,6,6,3,7,9,10,4,10,13,,,,2,5,4,1,4,,,,,3,2,,10,0,4,5,8,,24,0,3,4,8,0,8,0,4,,,,1,,,,0,0,0,1,1,1,3,3,2,2,2,3,0,1,0,,
55bf49d00100006a007617ab,Jolly Roger,08/09/2015 17:00,08/09/2015,17:00:00,08/09/2015 17:00,08/09/2015,17:00:00,31/07/2015 09:30,31/07/2015,09:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Floating hotspot,Crabtree Wharf,NA,5,12,15,7,1,8,5,10,14,0,3,1,1,1,4,6,8,6,0,8,11,,,,4,6,6,4,3,,,,,2,2,,10,6,1,9,6,,14,8,2,6,4,0,6,8,4,,,,0,,,,3,2,0,1,3,3,2,1,3,2,0,3,3,2,1,,
55bf49d00100006a007617ab,Jolly Roger,09/09/2015 17:00,09/09/2015,17:00:00,09/09/2015 17:00,09/09/2015,17:00:00,31/07/2015 09:30,31/07/2015,09:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Floating hotspot,Crabtree Wharf,NA,6,3,1,0,2,7,1,13,3,10,8,6,21,9,1,8,5,4,10,0,16,,,,0,4,4,3,0,,,,,3,2,,9,4,7,6,5,,5,4,6,5,8,5,3,1,1,,,,0,,,,1,1,3,3,0,2,3,3,0,3,1,0,3,2,1,,
55bf49d00100006a007617ab,Jolly Roger,10/09/2015 17:00,10/09/2015,17:00:00,10/09/2015 17:00,10/09/2015,17:00:00,31/07/2015 09:30,31/07/2015,09:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Floating hotspot,Crabtree Wharf,NA,7,11,20,1,6,2,8,12,9,5,2,2,32,6,0,2,5,4,7,0,31,,,,5,4,4,3,4,,,,,1,1,4,0,0,5,7,9,,2,5,2,2,4,4,8,5,4,,,,1,,,,1,0,2,3,2,3,1,0,2,0,1,2,0,0,3,,
55bf49d00100006a007617ab,Jolly Roger,11/09/2015 17:00,11/09/2015,17:00:00,11/09/2015 17:00,11/09/2015,17:00:00,31/07/2015 09:30,31/07/2015,09:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Floating hotspot,Crabtree Wharf,NA,8,24,15,6,10,2,1,2,19,1,1,4,30,4,3,5,0,6,10,10,8,,,,6,2,2,5,1,,,,,3,2,,7,0,4,5,6,,0,1,2,5,3,3,8,7,1,,,,1,,,,1,2,1,0,1,3,0,0,1,3,1,2,2,0,0,,
55bf49d00100006a007617ab,Jolly Roger,12/09/2015 17:00,12/09/2015,17:00:00,12/09/2015 17:00,12/09/2015,17:00:00,31/07/2015 09:30,31/07/2015,09:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Floating hotspot,Crabtree Wharf,NA,9,1,4,10,7,10,9,7,5,3,3,5,20,4,8,4,6,2,3,6,1,,,,6,6,3,0,2,,,,,1,0,,7,8,8,9,2,,24,3,8,8,6,6,7,3,1,,,,0,,,,2,2,3,2,1,0,2,0,0,3,1,2,3,3,2,,
55bf49d00100006a007617ab,Jolly Roger,13/09/2015 17:00,13/09/2015,17:00:00,13/09/2015 17:00,13/09/2015,17:00:00,31/07/2015 09:30,31/07/2015,09:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Floating hotspot,Crabtree Wharf,NA,10,37,4,10,8,3,4,0,19,3,10,6,0,7,0,8,0,0,8,3,8,,,,6,5,3,6,3,,,,,3,0,,4,4,4,6,5,,44,5,2,3,8,3,0,6,3,,,,0,,,,3,0,1,2,0,2,1,3,1,2,1,0,1,2,0,,
56000d7f0100005700a86985,Jolly Roger,14/09/2015 17:00,14/09/2015,17:00:00,14/09/2015 17:00,14/09/2015,17:00:00,21/08/2015 11:30,21/08/2015,11:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,1,9,5,12,32,25,6,4,19,27,28,12,43,40,5,25,14,13,19,25,26,,28,14,18,20,10,18,12,12,14,26,13,28,3,5,17,43,34,12,24,8,26,0,44,36,12,4,3,17,5,,,,1,,,,20,42,20,4,0,14,19,5,8,5,20,12,20,17,25,,
56000d7f0100005700a86985,Jolly Roger,15/09/2015 17:00,15/09/2015,17:00:00,15/09/2015 17:00,15/09/2015,17:00:00,21/08/2015 11:30,21/08/2015,11:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,2,32,29,13,0,23,28,8,32,11,9,41,22,25,11,0,26,0,14,35,4,,36,12,34,15,16,1,33,22,37,19,17,8,21,23,16,13,3,29,16,6,38,13,5,15,5,12,26,30,11,,,,24,,,,22,1,9,12,3,42,13,9,14,22,2,11,16,3,10,,
56000d7f0100005700a86985,Jolly Roger,16/09/2015 17:00,16/09/2015,17:00:00,16/09/2015 17:00,16/09/2015,17:00:00,21/08/2015 11:30,21/08/2015,11:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,3,8,11,4,13,38,5,11,15,24,16,7,16,5,24,12,32,1,33,18,8,,11,24,5,35,16,2,39,12,42,30,19,12,0,13,20,0,27,12,36,43,14,35,25,5,0,2,6,1,22,,,,17,,,,11,37,31,37,21,24,3,33,17,3,22,24,41,30,1,,
